open,high,low,close,volume
99800.0,99820.0,98617.55,98955.8,1465.06662
98955.81,99315.0,98649.41,99152.93,1255.33253
99152.93,99405.74,99122.07,99214.25,459.21815
99214.26,99333.24,98699.99,99158.71,1044.87874
99158.7,99517.93,98886.95,99392.09,860.82336
99392.09,99461.93,98777.87,99084.04,1485.77569
99084.05,99424.96,97489.74,97618.89,3024.8646
97618.88,99299.0,97335.13,99296.17,2581.46637
99296.17,99873.37,99079.05,99346.39,2045.2289
99346.39,100361.54,99178.3,99838.54,1379.66956
99838.55,100070.8,99260.45,99584.24,909.60548
99584.23,100448.72,99408.0,100417.2,1011.21215
100417.2,100641.99,100256.85,100343.99,1507.69777
100344.0,100399.33,99717.6,100156.98,861.9209
100156.98,100156.98,99377.0,99838.25,543.57901
99838.25,100115.87,99746.0,99987.3,659.90147
99987.3,100434.96,99950.77,100120.58,733.49266
100120.58,101833.28,100050.0,101659.8,3129.03705
101659.8,102148.13,100780.54,101100.0,2269.38304
101100.0,101271.74,100943.77,101051.73,759.63139
101051.73,101490.78,100952.1,101481.29,685.45637
101481.28,101782.02,101301.4,101334.05,905.85684
101334.06,101586.96,101302.6,101408.99,413.87668
101409.0,101899.49,101401.0,101440.5,1193.29541
101440.51,102220.14,101439.77,102136.01,1964.78851
102136.0,102288.0,101743.19,101861.26,1177.21807
101861.26,102581.45,101794.14,102321.53,1549.58944
102321.54,102443.5,102082.64,102237.6,688.88715
102237.6,102959.66,102195.9,102745.69,1367.64014
102745.68,102980.0,102422.45,102474.14,1091.04308
102474.14,103395.47,102279.41,103378.95,2867.39252
103379.23,104254.19,103285.79,104000.0,3972.29934
104000.0,105000.0,103841.18,104972.81,3081.02614
104972.81,105269.24,104025.49,104125.46,2634.44109
104125.46,104946.01,104039.05,104835.68,1307.73288
104835.68,105865.22,104684.21,105834.93,2313.65354
105834.93,105847.02,104539.18,104692.7,2246.47712
104692.7,105041.05,104462.02,104604.49,1431.12357
104604.49,104694.42,104204.0,104410.39,838.35441
104410.4,104526.32,104065.25,104077.48,550.15648
104077.47,104656.87,104075.34,104656.87,638.77711
104656.87,104656.87,104082.19,104268.14,833.43737
104268.14,104500.0,104259.98,104327.98,432.6465
104327.99,104479.31,103000.25,103559.82,1613.9646
103559.82,103726.23,102666.55,103599.27,1465.98462
103599.27,103771.21,102818.0,102829.27,1378.0847
102829.27,103636.91,102822.16,103440.39,1129.47925
103440.39,103488.9,102602.48,102821.75,963.58283
102821.75,103344.7,102277.55,103272.0,1495.73398
103271.99,103455.89,103059.11,103159.29,744.01579
103159.29,103294.35,102828.95,103184.64,905.13882
103184.64,103883.01,102932.01,103589.29,969.22689
103589.29,104035.28,103372.08,103457.34,851.81122
103457.34,104395.92,103107.65,104365.81,1163.74718
104365.81,104562.5,103722.0,103993.03,1347.04684
103993.02,104988.88,103761.05,104568.96,1639.57277
104568.96,104719.29,103156.02,103253.66,1948.60197
103253.65,104207.97,103253.65,103826.16,805.95293
103826.16,104395.92,103779.76,104084.74,860.07852
104084.74,104486.93,104080.71,104382.01,582.5223
104382.0,104488.0,103765.44,104035.42,778.47913
104035.42,104276.34,103878.87,103889.29,607.34292
103888.96,104307.0,103860.91,104291.3,418.18245
104291.3,104750.0,104291.3,104556.23,734.41929
104556.23,104556.23,104108.0,104108.0,631.78323
104108.01,104684.22,104013.51,104486.83,531.90385
104486.83,105458.55,104486.83,104877.96,1271.86533
104877.97,105183.51,104560.0,104984.01,835.78191
104984.01,105267.67,104676.48,105032.03,1179.37159
105032.04,105131.7,104191.19,105116.52,1200.22558
105116.51,105634.78,105030.0,105568.29,1208.28488
105568.29,105594.63,104960.26,105167.12,1197.63117
105167.11,105167.12,104305.36,104428.24,1601.61344
104428.23,105496.03,103450.69,105299.81,3235.23023
105299.81,105299.81,104405.13,104823.86,1399.66861
104823.86,105350.0,104209.56,104363.23,1659.36186
104363.24,105040.3,104300.75,104936.54,1376.12368
104936.54,105321.87,104850.58,104964.71,1148.03736
104964.72,105706.48,104789.6,105160.0,1991.10223
105159.99,105247.4,104500.01,104936.35,1510.85148
104936.35,105228.27,104725.68,104963.11,850.57647
104963.11,105148.42,104520.01,105115.8,900.94794
105115.8,105250.0,104902.27,105042.9,605.1025
105042.9,106200.74,104967.66,106200.0,1223.16865
106200.0,106422.43,105486.0,106275.49,1629.00774
106275.49,106368.33,103684.21,103684.44,3593.34084
103684.43,104500.0,101104.71,103414.0,5056.42008
103414.0,103414.0,99651.6,101331.57,7559.88233
101331.57,101677.71,99550.0,99794.51,5734.89756
99794.51,100999.99,99629.86,100692.82,3366.66439
100692.82,102321.42,100600.0,101926.42,2712.65655
101926.56,102211.08,101411.2,101891.93,2125.04174
101891.94,102800.27,101535.28,102232.34,1354.3199
102232.34,102825.73,102127.99,102344.2,1231.19752
102344.2,109588.0,102220.8,107486.5,9897.782422
107482.36,109499.99,106923.0,107120.65,8721.28782
107120.65,108381.92,107093.33,108320.01,2473.29627
108320.0,109193.23,107548.0,108132.05,3267.21621
108132.05,108731.92,107769.18,107964.56,1721.08834
107964.56,108550.0,107780.51,108239.19,1549.29703
108239.19,108700.01,105472.95,106917.59,4856.77565
106918.83,108125.0,106651.11,107956.31,2397.52118
107956.31,108130.08,107277.28,107866.65,2020.37994
107866.65,107990.0,104480.0,104957.99,4436.56636
104957.99,107050.0,103708.0,106670.38,5199.21213
106670.37,106778.05,100333.0,102963.32,14941.45475
102963.31,104469.15,102738.23,103930.66,3734.99842
103930.66,103964.43,102733.77,103691.63,2087.2373
103691.64,104331.0,103352.0,103647.16,1100.81839
103647.16,104080.0,102562.99,102596.0,1239.02947
102596.0,103815.98,101846.15,103608.0,1543.50015
103607.99,103728.52,101701.01,102260.01,1816.99224
102260.0,102672.0,101086.12,101187.75,2816.75367
101187.75,102233.26,100119.04,101498.24,3823.9367
101498.23,102763.33,101064.87,102545.56,2051.95936
102545.57,103260.1,102300.0,102936.01,1441.04326
102936.01,102974.14,101928.58,102344.2,1377.70334
102344.21,102527.39,101339.49,101365.98,1362.86605
101365.98,102186.15,101111.68,102176.04,1522.82917
102176.04,102480.0,101799.57,101989.05,1136.76002
101989.06,102496.74,101740.82,102466.81,1187.32227
102466.82,102894.29,102072.13,102707.08,2026.76426
102707.07,103364.74,102582.0,103160.85,1303.31432
103160.85,103973.02,103073.86,103758.25,1718.25988
103758.25,104708.41,103610.77,104519.98,2027.20606
104519.98,104999.99,104149.18,104457.07,1599.06258
104457.08,105320.0,103001.0,103260.91,3365.70838
103260.9,104109.98,102803.43,103943.0,2907.27364
103942.99,106500.99,103822.02,104965.99,4366.96821
104965.99,106400.0,104888.24,106173.26,1731.22772
106173.27,107240.81,105892.0,106861.18,2322.19094
106861.18,107150.0,106263.84,107031.34,1336.84691
107031.34,107199.99,105924.24,106137.51,1639.2492
106137.51,106814.37,105772.0,106772.23,1191.84971
106772.23,106772.24,105971.99,105996.01,590.06415
105996.01,106284.0,105420.0,106143.82,1093.86022
106143.82,106322.0,105807.08,105948.0,785.71082
105948.01,106394.46,105448.99,105799.99,749.4567
105800.0,106202.82,105556.05,105583.89,883.60729
105583.9,105912.18,105583.89,105600.01,600.48352
105600.01,105812.0,105277.24,105578.41,564.31492
105578.41,105882.89,105498.83,105689.15,669.61764
105689.15,105952.0,105186.71,105379.81,874.5231
105379.82,105678.57,105043.88,105084.77,786.13709
105084.77,105343.28,104700.0,105270.03,1039.67653
105270.03,105270.03,104916.43,104984.83,486.16994
104984.82,105161.76,104647.75,105142.76,539.35143
105142.14,105464.83,104758.62,105100.39,942.81672
105100.38,105584.23,105060.35,105275.86,739.16798
105275.87,105363.76,103768.14,104073.94,1580.23804
104074.43,104949.0,103662.58,104393.66,2235.61079
104393.67,105148.95,103982.0,104180.01,1452.83185
104180.01,104232.64,103339.12,103704.64,1682.64238
103704.65,104604.76,103665.73,104345.8,1066.07987
104345.8,104684.0,103756.48,103896.01,799.32703
103896.01,104754.64,103853.66,104630.0,814.42181
104630.0,104830.12,104070.61,104321.1,1253.12925
104321.11,104369.12,103611.66,104088.03,709.88066
104086.95,104514.8,103770.01,103866.79,555.44817
103866.79,104143.99,103654.0,103706.66,438.04901
103706.66,103819.99,103052.82,103307.51,959.67667
103307.51,103653.84,102588.15,102931.94,1272.26098
102931.94,102983.39,102100.0,102655.34,1943.13807
102655.34,103007.75,102197.34,102461.25,785.20592
102461.24,102493.15,101575.5,102075.22,1629.12288
102075.21,102639.36,102000.0,102532.52,890.29202
102532.52,102968.31,102209.23,102256.7,596.11322
102256.71,102803.2,102084.51,102710.27,806.65241
102710.28,102724.94,102060.0,102215.75,613.31177
102215.75,102467.73,101650.0,101672.01,896.38504
101672.0,102072.72,101262.28,101683.61,1022.21944
101683.61,102195.03,101683.6,101944.49,682.0455
101944.5,102135.05,101401.31,101635.58,878.62297
101635.59,102709.93,101281.62,102512.28,1288.57422
102512.28,106050.86,101989.81,105213.5,5857.46597
105213.6,105792.0,102643.49,105263.52,9216.36495
